"V1","V2","V3","V4","V5"
"19900429",1200,-700,9.4,"YSI"
"19900429",1200,-600,9.8,"YSI"
"19900429",1200,-500,10.4,"YSI"
"19900429",1200,-400,11.3,"YSI"
"19900429",1200,-300,14.6,"YSI"
"19900429",1200,-200,14.6,"YSI"
"19900429",1200,-100,14.6,"YSI"
"19900429",1200,0,14.6,"YSI"
"19900517",1200,-2200,6.8,"YSI"
"19900517",1200,-2100,6.8,"YSI"
"19900517",1200,-2000,6.9,"YSI"
"19900517",1200,-1900,7,"YSI"
"19900517",1200,-1800,7.1,"YSI"
"19900517",1200,-1700,7.2,"YSI"
"19900517",1200,-1600,7.3,"YSI"
"19900517",1200,-1500,7.4,"YSI"
"19900517",1200,-1400,7.6,"YSI"
"19900517",1200,-1300,8,"YSI"
"19900517",1200,-1200,8.3,"YSI"
"19900517",1200,-1100,8.6,"YSI"
"19900517",1200,-1000,9.1,"YSI"
"19900517",1200,-900,9.5,"YSI"
"19900517",1200,-800,12.5,"YSI"
"19900517",1200,-700,12.6,"YSI"
"19900517",1200,-600,13.2,"YSI"
"19900517",1200,-500,13.5,"YSI"
"19900517",1200,-400,13.7,"YSI"
"19900517",1200,-300,14.1,"YSI"
"19900517",1200,-200,14.3,"YSI"
"19900517",1200,-100,14.5,"YSI"
"19900517",1200,0,14.6,"YSI"
"19900605",1200,-2300,7.5,"YSI"
"19900605",1200,-2200,7.5,"YSI"
"19900605",1200,-2100,7.5,"YSI"
"19900605",1200,-2000,7.6,"YSI"
"19900605",1200,-1900,7.7,"YSI"
"19900605",1200,-1800,8,"YSI"
"19900605",1200,-1700,8.1,"YSI"
"19900605",1200,-1600,8.4,"YSI"
"19900605",1200,-1500,8.6,"YSI"
"19900605",1200,-1400,9,"YSI"
"19900605",1200,-1300,9.1,"YSI"
"19900605",1200,-1200,9.7,"YSI"
"19900605",1200,-1100,10.4,"YSI"
"19900605",1200,-1000,11.4,"YSI"
"19900605",1200,-900,12.4,"YSI"
"19900605",1200,-800,14.8,"YSI"
"19900605",1200,-700,15.1,"YSI"
"19900605",1200,-600,15.6,"YSI"
"19900605",1200,-500,15.8,"YSI"
"19900605",1200,-400,16.5,"YSI"
"19900605",1200,-300,16.5,"YSI"
"19900605",1200,-200,16.6,"YSI"
"19900605",1200,-100,16.6,"YSI"
"19900605",1200,0,16.6,"YSI"
"19900618",1200,-2300,7.8,"YSI"
"19900618",1200,-2200,7.8,"YSI"
"19900618",1200,-2100,7.9,"YSI"
"19900618",1200,-2000,8,"YSI"
"19900618",1200,-1900,8.1,"YSI"
"19900618",1200,-1800,8.5,"YSI"
"19900618",1200,-1700,8.6,"YSI"
"19900618",1200,-1600,9,"YSI"
"19900618",1200,-1500,9.4,"YSI"
"19900618",1200,-1400,9.9,"YSI"
"19900618",1200,-1300,10.4,"YSI"
"19900618",1200,-1200,11,"YSI"
"19900618",1200,-1100,11.6,"YSI"
"19900618",1200,-1000,12.6,"YSI"
"19900618",1200,-900,13.7,"YSI"
"19900618",1200,-800,16.4,"YSI"
"19900618",1200,-700,17.4,"YSI"
"19900618",1200,-600,18.2,"YSI"
"19900618",1200,-500,18.5,"YSI"
"19900618",1200,-400,18.6,"YSI"
"19900618",1200,-300,18.9,"YSI"
"19900618",1200,-200,19.4,"YSI"
"19900618",1200,-100,20.3,"YSI"
"19900618",1200,0,20.1,"YSI"
"19900703",1200,-2300,8.1,"YSI"
"19900703",1200,-2200,8.2,"YSI"
"19900703",1200,-2100,8.3,"YSI"
"19900703",1200,-2000,8.4,"YSI"
"19900703",1200,-1900,8.5,"YSI"
"19900703",1200,-1800,8.8,"YSI"
"19900703",1200,-1700,9.1,"YSI"
"19900703",1200,-1600,9.3,"YSI"
"19900703",1200,-1500,10,"YSI"
"19900703",1200,-1400,10.3,"YSI"
"19900703",1200,-1300,11,"YSI"
"19900703",1200,-1200,11.8,"YSI"
"19900703",1200,-1100,13,"YSI"
"19900703",1200,-1000,14,"YSI"
"19900703",1200,-900,15.9,"YSI"
"19900703",1200,-800,17.6,"YSI"
"19900703",1200,-700,19.2,"YSI"
"19900703",1200,-600,20.3,"YSI"
"19900703",1200,-500,21.1,"YSI"
"19900703",1200,-400,21.3,"YSI"
"19900703",1200,-300,21.3,"YSI"
"19900703",1200,-200,21.3,"YSI"
"19900703",1200,-100,21.3,"YSI"
